,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
5045,2001-01-01 04:00:00,28079002,35,59,2.9
5046,2001-01-02 04:00:00,28079002,35,59,2.51
5047,2001-01-03 04:00:00,28079002,35,59,2.58
5048,2001-01-04 04:00:00,28079002,35,59,2.84
5049,2001-01-05 04:00:00,28079002,35,59,3.63
5050,2001-01-06 04:00:00,28079002,35,59,1.41
5051,2001-01-07 04:00:00,28079002,35,59,0.95
5052,2001-01-08 04:00:00,28079002,35,59,3.09
5053,2001-01-09 04:00:00,28079002,35,59,3.34
5054,2001-01-10 04:00:00,28079002,35,59,5.55
5055,2001-01-11 04:00:00,28079002,35,59,4.07
5056,2001-01-12 04:00:00,28079002,35,59,1.95
5057,2001-01-13 04:00:00,28079002,35,59,1.12
5058,2001-01-14 04:00:00,28079002,35,59,1.0
5059,2001-01-15 04:00:00,28079002,35,59,3.26
5060,2001-01-16 04:00:00,28079002,35,59,3.28
5061,2001-01-17 04:00:00,28079002,35,59,3.26
5062,2001-01-18 04:00:00,28079002,35,59,3.64
5063,2001-01-19 04:00:00,28079002,35,59,2.4
5064,2001-01-20 04:00:00,28079002,35,59,4.31
5065,2001-01-21 04:00:00,28079002,35,59,4.0
5066,2001-01-22 04:00:00,28079002,35,59,5.0
5067,2001-01-23 04:00:00,28079002,35,59,2.74
5068,2001-01-24 04:00:00,28079002,35,59,2.13
5069,2001-01-25 04:00:00,28079002,35,59,1.59
5070,2001-01-26 04:00:00,28079002,35,59,2.33
5071,2001-01-27 04:00:00,28079002,35,59,2.17
5072,2001-01-28 04:00:00,28079002,35,59,1.0
5073,2001-01-29 04:00:00,28079002,35,59,1.13
5074,2001-01-30 04:00:00,28079002,35,59,3.8
5075,2001-01-31 04:00:00,28079002,35,59,5.04
5076,2001-02-01 04:00:00,28079002,35,59,3.99
5077,2001-02-02 04:00:00,28079002,35,59,7.79
5078,2001-02-03 04:00:00,28079002,35,59,5.78
5079,2001-02-04 04:00:00,28079002,35,59,3.24
5080,2001-02-05 04:00:00,28079002,35,59,5.03
5081,2001-02-06 04:00:00,28079002,35,59,3.94
5082,2001-02-07 04:00:00,28079002,35,59,2.5
5083,2001-02-08 04:00:00,28079002,35,59,1.81
5084,2001-02-09 04:00:00,28079002,35,59,2.11
5085,2001-02-10 04:00:00,28079002,35,59,2.37
5086,2001-02-11 04:00:00,28079002,35,59,3.87
5087,2001-02-12 04:00:00,28079002,35,59,4.03
5088,2001-02-13 04:00:00,28079002,35,59,5.57
5089,2001-02-14 04:00:00,28079002,35,59,1.42
5090,2001-02-15 04:00:00,28079002,35,59,0.93
5091,2001-02-16 04:00:00,28079002,35,59,1.17
5092,2001-02-17 04:00:00,28079002,35,59,2.96
5093,2001-02-18 04:00:00,28079002,35,59,1.49
5094,2001-02-19 04:00:00,28079002,35,59,1.4
5095,2001-02-20 04:00:00,28079002,35,59,3.25
5096,2001-02-21 04:00:00,28079002,35,59,5.84
5097,2001-02-22 04:00:00,28079002,35,59,8.63
5098,2001-02-23 04:00:00,28079002,35,59,8.59
5099,2001-02-24 04:00:00,28079002,35,59,1.95
5100,2001-02-25 04:00:00,28079002,35,59,0.53
5101,2001-02-26 04:00:00,28079002,35,59,3.42
5102,2001-02-27 04:00:00,28079002,35,59,2.21
5103,2001-02-28 04:00:00,28079002,35,59,1.27
5104,2001-03-01 04:00:00,28079002,35,59,3.7
5105,2001-03-02 04:00:00,28079002,35,59,4.64
5106,2001-03-03 04:00:00,28079002,35,59,3.04
5107,2001-03-04 04:00:00,28079002,35,59,3.17
5108,2001-03-05 04:00:00,28079002,35,59,4.57
5109,2001-03-06 04:00:00,28079002,35,59,3.5
5110,2001-03-07 04:00:00,28079002,35,59,2.98
5111,2001-03-08 04:00:00,28079002,35,59,2.43
5112,2001-03-09 04:00:00,28079002,35,59,2.94
5113,2001-03-10 04:00:00,28079002,35,59,2.95
5114,2001-03-11 04:00:00,28079002,35,59,3.41
5115,2001-03-12 04:00:00,28079002,35,59,2.83
5116,2001-03-13 04:00:00,28079002,35,59,1.85
5117,2001-03-14 04:00:00,28079002,35,59,4.37
5118,2001-03-15 04:00:00,28079002,35,59,3.62
5119,2001-03-16 04:00:00,28079002,35,59,4.19
5120,2001-03-17 04:00:00,28079002,35,59,2.61
5121,2001-03-18 04:00:00,28079002,35,59,2.68
5122,2001-03-21 04:00:00,28079002,35,59,3.87
5123,2001-03-22 04:00:00,28079002,35,59,4.46
5124,2001-03-23 04:00:00,28079002,35,59,4.62
5125,2001-03-24 04:00:00,28079002,35,59,2.74
5126,2001-03-25 04:00:00,28079002,35,59,2.54
5127,2001-03-26 04:00:00,28079002,35,59,3.44
5128,2001-03-27 04:00:00,28079002,35,59,3.74
5129,2001-03-28 04:00:00,28079002,35,59,2.32
5130,2001-03-29 04:00:00,28079002,35,59,2.03
5131,2001-03-30 04:00:00,28079002,35,59,2.29
5132,2001-03-31 04:00:00,28079002,35,59,1.85
5133,2001-04-01 04:00:00,28079002,35,59,1.95
5134,2001-04-02 04:00:00,28079002,35,59,3.04
5135,2001-04-03 04:00:00,28079002,35,59,2.28
5136,2001-04-04 04:00:00,28079002,35,59,3.24
5137,2001-04-05 04:00:00,28079002,35,59,3.25
5138,2001-04-06 04:00:00,28079002,35,59,4.84
5139,2001-04-07 04:00:00,28079002,35,59,1.26
5140,2001-04-08 04:00:00,28079002,35,59,1.03
5141,2001-04-09 04:00:00,28079002,35,59,3.2
5142,2001-04-10 04:00:00,28079002,35,59,2.31
5143,2001-04-11 04:00:00,28079002,35,59,0.78
5144,2001-04-12 04:00:00,28079002,35,59,0.53
5145,2001-04-13 04:00:00,28079002,35,59,0.37
5146,2001-04-14 04:00:00,28079002,35,59,0.41
5147,2001-04-15 04:00:00,28079002,35,59,1.78
5148,2001-04-16 04:00:00,28079002,35,59,3.78
5149,2001-04-17 04:00:00,28079002,35,59,1.81
5150,2001-04-18 04:00:00,28079002,35,59,1.52
5151,2001-04-19 04:00:00,28079002,35,59,2.28
5152,2001-04-20 04:00:00,28079002,35,59,0.85
5153,2001-04-21 04:00:00,28079002,35,59,1.19
5154,2001-04-22 04:00:00,28079002,35,59,1.66
5155,2001-04-23 04:00:00,28079002,35,59,2.82
5156,2001-04-24 04:00:00,28079002,35,59,3.24
5157,2001-04-25 04:00:00,28079002,35,59,1.53
5158,2001-04-26 04:00:00,28079002,35,59,1.72
5159,2001-04-27 04:00:00,28079002,35,59,1.71
5160,2001-04-28 04:00:00,28079002,35,59,2.24
5161,2001-04-29 04:00:00,28079002,35,59,3.54
5162,2001-04-30 04:00:00,28079002,35,59,1.22
5163,2001-05-01 04:00:00,28079002,35,59,0.9
5164,2001-05-02 04:00:00,28079002,35,59,2.09
5165,2001-05-03 04:00:00,28079002,35,59,2.12
5166,2001-05-04 04:00:00,28079002,35,59,1.64
5167,2001-05-05 04:00:00,28079002,35,59,1.13
5168,2001-05-06 04:00:00,28079002,35,59,0.77
5169,2001-05-07 04:00:00,28079002,35,59,1.59
5170,2001-05-08 04:00:00,28079002,35,59,1.62
5171,2001-05-09 04:00:00,28079002,35,59,2.28
5172,2001-05-10 04:00:00,28079002,35,59,3.17
5173,2001-05-12 04:00:00,28079002,35,59,4.68
5174,2001-05-13 04:00:00,28079002,35,59,2.36
5175,2001-05-14 04:00:00,28079002,35,59,3.49
5176,2001-05-15 04:00:00,28079002,35,59,1.6
5177,2001-05-16 04:00:00,28079002,35,59,2.26
5178,2001-05-17 04:00:00,28079002,35,59,2.34
5179,2001-05-18 04:00:00,28079002,35,59,1.17
5180,2001-05-19 04:00:00,28079002,35,59,1.14
5181,2001-05-20 04:00:00,28079002,35,59,1.25
5182,2001-05-21 04:00:00,28079002,35,59,2.54
5183,2001-05-22 04:00:00,28079002,35,59,2.85
5184,2001-05-23 04:00:00,28079002,35,59,2.31
5185,2001-05-24 04:00:00,28079002,35,59,1.52
5186,2001-05-25 04:00:00,28079002,35,59,2.38
5187,2001-05-26 04:00:00,28079002,35,59,1.18
5188,2001-05-27 04:00:00,28079002,35,59,1.11
5189,2001-05-28 04:00:00,28079002,35,59,1.92
5190,2001-05-29 04:00:00,28079002,35,59,3.02
5191,2001-05-30 04:00:00,28079002,35,59,2.88
5192,2001-05-31 04:00:00,28079002,35,59,2.83
5193,2001-06-01 04:00:00,28079002,35,59,1.69
5194,2001-06-02 04:00:00,28079002,35,59,1.54
5195,2001-06-03 04:00:00,28079002,35,59,2.38
5196,2001-06-04 04:00:00,28079002,35,59,2.89
5197,2001-06-05 04:00:00,28079002,35,59,3.28
5198,2001-06-06 04:00:00,28079002,35,59,1.45
5199,2001-06-07 04:00:00,28079002,35,59,2.19
