,DATE,ESTACION,MAGNITUD,TECNICA,VALUE
5396,2001-01-01 04:00:00,28079002,37,59,7.19
5397,2001-01-02 04:00:00,28079002,37,59,6.31
5398,2001-01-03 04:00:00,28079002,37,59,6.57
5399,2001-01-04 04:00:00,28079002,37,59,7.14
5400,2001-01-05 04:00:00,28079002,37,59,9.31
5401,2001-01-06 04:00:00,28079002,37,59,3.52
5402,2001-01-07 04:00:00,28079002,37,59,2.34
5403,2001-01-08 04:00:00,28079002,37,59,7.75
5404,2001-01-09 04:00:00,28079002,37,59,8.39
5405,2001-01-10 04:00:00,28079002,37,59,13.88
5406,2001-01-11 04:00:00,28079002,37,59,10.09
5407,2001-01-12 04:00:00,28079002,37,59,4.92
5408,2001-01-13 04:00:00,28079002,37,59,1.78
5409,2001-01-14 04:00:00,28079002,37,59,1.0
5410,2001-01-15 04:00:00,28079002,37,59,7.39
5411,2001-01-16 04:00:00,28079002,37,59,8.0
5412,2001-01-17 04:00:00,28079002,37,59,8.06
5413,2001-01-18 04:00:00,28079002,37,59,8.92
5414,2001-01-19 04:00:00,28079002,37,59,5.87
5415,2001-01-20 04:00:00,28079002,37,59,10.47
5416,2001-01-21 04:00:00,28079002,37,59,9.72
5417,2001-01-22 04:00:00,28079002,37,59,12.36
5418,2001-01-23 04:00:00,28079002,37,59,6.75
5419,2001-01-24 04:00:00,28079002,37,59,5.29
5420,2001-01-25 04:00:00,28079002,37,59,3.9
5421,2001-01-26 04:00:00,28079002,37,59,5.73
5422,2001-01-27 04:00:00,28079002,37,59,5.23
5423,2001-01-28 04:00:00,28079002,37,59,2.46
5424,2001-01-29 04:00:00,28079002,37,59,2.75
5425,2001-01-30 04:00:00,28079002,37,59,9.36
5426,2001-01-31 04:00:00,28079002,37,59,12.41
5427,2001-02-01 04:00:00,28079002,37,59,10.1
5428,2001-02-02 04:00:00,28079002,37,59,19.47
5429,2001-02-03 04:00:00,28079002,37,59,13.81
